detailUrl,unformattedPrice,beds,baths,area,zestimate,brokerName,latitude,longitude,date
https://www.zillow.com/homedetails/2234-Maple-St-Columbus-IN-47201/85099655_zpid/,118000,3.0,1.0,1152.0,118100.0,Dean Wagner LLC,39.22089,-85.90881,2021-12-27
https://www.zillow.com/homedetails/1032-Tanbark-Ave-Columbus-IN-47203/102834930_zpid/,319000,4.0,3.0,4256.0,319200.0,Non-BLC Office,39.239155,-85.91399,2021-12-27
https://www.zillow.com/homedetails/5030-E-800-N-Columbus-IN-47203/112012946_zpid/,260000,4.0,3.0,2202.0,264800.0,eXp Realty LLC,39.31927,-85.8664,2021-12-27
https://www.zillow.com/homedetails/13455-W-State-Road-46-Columbus-IN-47201/217816476_zpid/,570000,4.0,4.0,4316.0,570700.0,CENTURY 21 Breeden REALTORS®,39.198643,-86.06681,2021-12-24
https://www.zillow.com/homedetails/5082-E-Karlsway-Dr-Columbus-IN-47201/85090910_zpid/,210000,3.0,2.0,1356.0,210000.0,Realty One Group Dream,39.136074,-85.86378,2021-12-23
https://www.zillow.com/homedetails/11388-E-200-N-Hope-IN-47246/2105641225_zpid/,251000,3.0,2.0,2464.0,,RE/MAX Real Estate Prof,,,2021-12-23
https://www.zillow.com/homedetails/3402-Grove-Pl-Columbus-IN-47203/85094716_zpid/,425000,3.0,4.0,4803.0,425300.0,RE/MAX Real Estate Prof,39.236244,-85.91681,2021-12-23
https://www.zillow.com/homedetails/1023-Aspen-Ln-Columbus-IN-47203/85093989_zpid/,190000,3.0,2.0,1272.0,190100.0,RE/MAX Real Estate Prof,39.25692,-85.91491,2021-12-23
https://www.zillow.com/homedetails/5761-W-Ohio-Ridge-Rd-Columbus-IN-47201/217808425_zpid/,340000,4.0,3.0,3354.0,340200.0,RE/MAX Real Estate Prof,39.280975,-85.987305,2021-12-23
https://www.zillow.com/homedetails/3706-Cheyenne-Ct-Columbus-IN-47203/102839348_zpid/,344900,4.0,3.0,3077.0,345400.0,CENTURY 21 Breeden REALTORS®,39.241444,-85.902504,2021-12-23
https://www.zillow.com/homedetails/4134-N-Riverside-Dr-Columbus-IN-47203/85094636_zpid/,560000,4.0,3.0,4728.0,560200.0,Berkshire Hathaway Home,39.244125,-85.92287,2021-12-22
https://www.zillow.com/homedetails/2621-13th-St-Columbus-IN-47201/85100730_zpid/,135000,3.0,2.0,1672.0,135100.0,Dean Wagner LLC,39.21195,-85.892204,2021-12-22
https://www.zillow.com/homedetails/5639-Bellsville-Pike-Columbus-IN-47201/102840562_zpid/,59000,2.0,1.0,1004.0,59000.0,Carpenter Hills O'Brown,39.128307,-86.14147,2021-12-22
https://www.zillow.com/homedetails/5067-Brookview-Ct-Columbus-IN-47201/85103994_zpid/,200000,3.0,2.0,1299.0,200100.0,Berkshire Hathaway Home,39.152428,-85.93957,2021-12-22
https://www.zillow.com/homedetails/2242-Peartree-Ct-Columbus-IN-47201/102836137_zpid/,420000,5.0,3.0,3100.0,420300.0,CENTURY 21 Breeden REALTORS®,39.190228,-85.95087,2021-12-21
https://www.zillow.com/homedetails/729-Glendale-Dr-Columbus-IN-47201/102838895_zpid/,125000,3.0,2.0,1384.0,125100.0,RE/MAX Real Estate Prof,39.19059,-85.8812,2021-12-21
https://www.zillow.com/homedetails/2823-Fox-Pointe-Dr-Columbus-IN-47203/102836884_zpid/,213000,3.0,2.0,1563.0,213100.0,RE/MAX Real Estate Prof,39.227077,-85.869225,2021-12-20
https://www.zillow.com/homedetails/4601-E-Wembley-Ln-Columbus-IN-47201/85105120_zpid/,380000,4.0,3.0,3000.0,380300.0,Dean Wagner LLC,39.195267,-85.87012,2021-12-20
https://www.zillow.com/homedetails/2320-Glenview-Dr-Columbus-IN-47203/85099207_zpid/,275000,4.0,3.0,2268.0,275200.0,CENTURY 21 Breeden REALTORS®,39.2221,-85.87914,2021-12-20
https://www.zillow.com/homedetails/1937-Shiloh-Dr-Columbus-IN-47203/85098338_zpid/,255900,3.0,2.0,2703.0,256100.0,Berkshire Hathaway Home,39.219215,-85.86187,2021-12-20
https://www.zillow.com/homedetails/3328-Spring-Valley-Dr-Columbus-IN-47203/85101704_zpid/,157500,4.0,2.0,1620.0,157900.0,RE/MAX Real Estate Prof,39.245728,-85.88733,2021-12-20
https://www.zillow.com/homedetails/3839-Camelot-Ln-Columbus-IN-47203/102837120_zpid/,200000,,,,201100.0,Non-BLC Office,39.226578,-85.87712,2021-12-20
https://www.zillow.com/homedetails/12390-E-County-Road-100-N-Columbus-IN-47201/2067674632_zpid/,344000,4.0,3.0,2270.0,,CENTURY 21 Breeden REALTORS®,,,2021-12-17
https://www.zillow.com/homedetails/3215-Woodland-Rdg-Columbus-IN-47201/85097281_zpid/,449900,5.0,5.0,4795.0,450400.0,"Aspire Realty, LLC",39.17357,-85.9594,2021-12-17
https://www.zillow.com/homedetails/3495-Duffer-Dr-Columbus-IN-47203/85103217_zpid/,290000,3.0,2.0,1836.0,290300.0,CENTURY 21 Breeden REALTORS®,39.237804,-85.87329,2021-12-17
https://www.zillow.com/homedetails/2131-McKinley-Ave-Columbus-IN-47201/102839031_zpid/,100500,,,,100600.0,CENTURY 21 Breeden REALTORS®,39.201103,-85.90073,2021-12-17
https://www.zillow.com/homedetails/4975-E-500-S-Columbus-IN-47201/85091124_zpid/,450000,4.0,3.0,3516.0,450900.0,Realty Group Butler LLC,39.12789,-85.86476,2021-12-17
https://www.zillow.com/homedetails/2402-Ohio-Ave-Columbus-IN-47201/85101293_zpid/,115000,2.0,1.0,1792.0,115300.0,Realty One Group Dream,39.199886,-85.896576,2021-12-17
https://www.zillow.com/homedetails/1522-19th-St-Columbus-IN-47201/102837629_zpid/,167900,2.0,2.0,1404.0,168400.0,Dean Wagner LLC,39.217705,-85.90765,2021-12-17
https://www.zillow.com/homedetails/624-Lafayette-Ave-Columbus-IN-47201/85096418_zpid/,389900,3.0,3.0,3522.0,391400.0,Realty One Group Dream,39.205,-85.91892,2021-12-17
https://www.zillow.com/homedetails/121-S-Ross-St-Columbus-IN-47201/102838777_zpid/,122600,1.0,1.0,844.0,123100.0,Berkshire Hathaway Home,39.196243,-85.892944,2021-12-17
https://www.zillow.com/homedetails/1999-Shellbark-Ct-Columbus-IN-47201/217808762_zpid/,32000,0.0,,,,RE/MAX Real Estate Prof,39.25927,-85.946884,2021-12-16
https://www.zillow.com/homedetails/1938-Shellbark-Ct-Columbus-IN-47201/217808759_zpid/,32000,0.0,,,,RE/MAX Real Estate Prof,39.259586,-85.94633,2021-12-16
https://www.zillow.com/homedetails/1941-Conifer-Ct-Columbus-IN-47201/217808714_zpid/,32000,0.0,,,,RE/MAX Real Estate Prof,39.261253,-85.94684,2021-12-16
https://www.zillow.com/homedetails/5085-S-550-W-Columbus-IN-47201/85107400_zpid/,205000,3.0,2.0,1071.0,205800.0,"Carpenter, REALTORS®",39.151173,-86.01128,2021-12-16
https://www.zillow.com/homedetails/2130-N-Cherry-St-Columbus-IN-47201/102837486_zpid/,127000,3.0,1.0,1040.0,127500.0,RE/MAX Real Estate Prof,39.219933,-85.906815,2021-12-16
https://www.zillow.com/homedetails/2018-Creekstone-Dr-Columbus-IN-47201/119746628_zpid/,232000,3.0,3.0,2064.0,232900.0,RE/MAX Real Estate Prof,39.16492,-85.94333,2021-12-16
https://www.zillow.com/homedetails/1907-Central-Ave-Columbus-IN-47201/85099941_zpid/,155000,3.0,2.0,1400.0,149800.0,Berkshire Hathaway Home,39.217773,-85.903755,2021-12-15
https://www.zillow.com/homedetails/2544-Pearl-St-Columbus-IN-47201/85095087_zpid/,165000,3.0,1.0,1850.0,167900.0,F.C. Tucker Real Estate Expert,39.224163,-85.91846,2021-12-15
https://www.zillow.com/homedetails/2060-Miracle-Dr-66-Columbus-IN-47201/2067530559_zpid/,168000,3.0,2.0,1348.0,,CENTURY 21 Breeden REALTORS®,,,2021-12-15
https://www.zillow.com/homedetails/2103-Gilmore-St-Columbus-IN-47201/85099684_zpid/,175000,2.0,2.0,2396.0,175800.0,Dean Wagner LLC,39.219437,-85.90932,2021-12-15
https://www.zillow.com/homedetails/430-Oakbrook-Dr-Columbus-IN-47201/85104122_zpid/,290000,3.0,3.0,2736.0,291200.0,Berkshire Hathaway Home,39.19186,-85.988655,2021-12-15
https://www.zillow.com/homedetails/707-25th-St-Columbus-IN-47201/85095473_zpid/,195000,3.0,2.0,2133.0,195700.0,Dean Wagner LLC,39.222576,-85.917854,2021-12-14
https://www.zillow.com/homedetails/2008-Abbey-Ln-Columbus-IN-47201/2067996074_zpid/,316000,4.0,3.0,2486.0,,CENTURY 21 Breeden REALTORS®,,,2021-12-13
https://www.zillow.com/homedetails/6135-Sloan-Valley-Dr-Columbus-IN-47203/85103677_zpid/,265000,3.0,2.0,1617.0,265700.0,"Carpenter, REALTORS®",39.230392,-85.851715,2021-12-13
https://www.zillow.com/homedetails/2530-Windcrest-Pl-Columbus-IN-47203/85098558_zpid/,265000,4.0,3.0,2664.0,266000.0,F.C. Tucker Real Estate Expert,39.22395,-85.88454,2021-12-13
https://www.zillow.com/homedetails/5626-Poplar-Woods-Ct-Columbus-IN-47203/217834190_zpid/,360000,3.0,2.0,3752.0,358500.0,CENTURY 21 Breeden REALTORS®,39.225834,-85.86147,2021-12-13
https://www.zillow.com/homedetails/2079-Pinewood-Dr-Columbus-IN-47203/85101782_zpid/,379900,4.0,3.0,3694.0,375300.0,CENTURY 21 Breeden REALTORS®,39.24247,-85.89884,2021-12-13
https://www.zillow.com/homedetails/3661-Premier-Dr-Columbus-IN-47203/85103151_zpid/,237900,3.0,2.0,1378.0,239000.0,RE/MAX Real Estate Prof,39.24055,-85.86873,2021-12-13
https://www.zillow.com/homedetails/3920-Briar-Hill-Way-Columbus-IN-47203/102839625_zpid/,274500,3.0,3.0,3084.0,275800.0,RE/MAX Real Estate Prof,39.237656,-85.87718,2021-12-13
